"Bond Series","Original Loan Amount","Loan Purchase Date ","Purchase Year","Original Loan To Value","Loan Type ","SONYMA DPAL/CCAL Amount","Original Term","County","FIPS Code","Number of Units","Property Type","Housing Type","Household Size "
"HMB Warehouse","$117,370","06/30/2016","2016","97%","Conventional","$3,630","360","Schuyler","36097","1 Family","Detached","Existing","1"
"HMB Warehouse","$83,000","06/30/2016","2016","89%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","1"
"HMB Warehouse","$133,860","06/30/2016","2016","97%","Conventional","$0","360","Livingston","36051","1 Family","Detached","Existing","2"
"HMB Warehouse","$127,300","06/30/2016","2016","95%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$74,150","06/30/2016","2016","78%","Conventional","$0","360","Rensselaer","36083","1 Family","Detached","Existing","3"
"HMB Warehouse","$101,850","06/30/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$228,800","06/30/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$269,950","06/30/2016","2016","61%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$95,220","06/30/2016","2016","90%","Conventional","$0","360","Chemung","36015","1 Family","Detached","Existing","4"
"HMB Warehouse","$233,000","06/30/2016","2016","89%","Conventional","$7,890","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$339,500","06/30/2016","2016","97%","Conventional","$10,500","360","Bronx","36005","1 Family","Attached","Existing","1"
"HMB Warehouse","$260,800","06/30/2016","2016","80%","Conventional","$9,780","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$72,700","06/30/2016","2016","96.93%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$290,000","06/30/2016","2016","79.89%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","New","2"
"HMB Warehouse","$110,000","06/30/2016","2016","25.53%","Conventional","$0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","$120,280","06/30/2016","2016","97%","Conventional","$3,720","360","Erie","36029","1 Family","Detached","Existing","4"
"HMB Warehouse","$210,000","06/30/2016","2016","50.5%","Conventional","$0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","$139,500","06/30/2016","2016","90%","Conventional","$0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$78,350","06/30/2016","2016","87.06%","Conventional","$2,700","360","Bronx","36005","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$32,883","06/30/2016","2016","97%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","5"
"HMB Warehouse","$151,499","06/30/2016","2016","97%","Conventional","$4,685","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$50,000","06/30/2016","2016","38.49%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$165,000","06/30/2016","2016","82.5%","Conventional","$6,000","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$224,000","06/30/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$92,700","06/30/2016","2016","90%","Conventional","$3,090","360","Westchester","36119","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$261,900","06/30/2016","2016","97%","Conventional","$8,100","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$63,050","06/30/2016","2016","97%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","4"
"HMB Warehouse","$190,000","06/30/2016","2016","62.5%","Conventional","$0","360","Kings","36047","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$143,560","06/30/2016","2016","97%","Conventional","$4,440","360","Rockland","36087","1 Family","Condominium","Existing","1"
"HMB Warehouse","$188,000","06/30/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$115,900","06/23/2016","2016","95%","Conventional","$3,660","360","Albany","36001","1 Family","Detached","Existing","2"
"HMB Warehouse","$140,600","06/23/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$216,000","06/23/2016","2016","90%","Conventional","$7,200","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","$84,875","06/23/2016","2016","97%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","3"
"HMB Warehouse","$64,500","06/23/2016","2016","96%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$414,000","06/23/2016","2016","96%","Conventional","$12,900","360","Kings","36047","2 Family","Detached","Existing","4"
"HMB Warehouse","$210,000","06/23/2016","2016","79%","Conventional","$7,950","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$152,000","06/23/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$110,250","06/23/2016","2016","75%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$299,647","06/23/2016","2016","94%","Conventional","$9,600","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$105,600","06/23/2016","2016","80%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$72,750","06/23/2016","2016","97%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$354,350","06/23/2016","2016","95%","Conventional","$11,190","360","Nassau","36059","2 Family","Attached","Existing","1"
"HMB Warehouse","$100,000","06/23/2016","2016","38%","Conventional","$0","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","$31,701","06/23/2016","2016","58%","Conventional","$1,650","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$31,920","06/23/2016","2016","80%","Conventional","$0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$161,000","06/23/2016","2016","82.56%","Conventional","$5,850","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$166,200","06/23/2016","2016","93.9%","Conventional","$0","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","$280,000","06/23/2016","2016","87.5%","Conventional","$9,600","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","$85,060","06/23/2016","2016","97%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","$138,710","06/23/2016","2016","97%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$106,000","06/23/2016","2016","88%","Conventional","$0","360","Tompkins","36109","1 Family","Detached","Existing","2"
"HMB Warehouse","$323,034","06/23/2016","2016","97%","Conventional","$10,027","360","Suffolk","36103","1 Family","Detached","Existing","5"
"HMB Warehouse","$299,250","06/23/2016","2016","95%","Conventional","$9,450","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$123,405","06/23/2016","2016","95%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$116,250","06/23/2016","2016","75%","Conventional","$0","360","Queens","36081","1 Family","Detached","Existing","1"
"HMB Warehouse","$160,000","06/23/2016","2016","74%","Conventional","$6,450","360","Westchester","36119","1 Family","Cooperative","Existing","3"
"HMB Warehouse","$247,500","06/23/2016","2016","90%","Conventional","$0","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","$368,600","06/23/2016","2016","95%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","$199,820","06/23/2016","2016","97%","Conventional","$6,180","360","Dutchess","36027","1 Family","Detached","Existing","4"
"HMB Warehouse","$104,500","06/23/2016","2016","95%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$52,600","06/23/2016","2016","93%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$154,860","06/23/2016","2016","97%","Conventional","$4,789","360","Rockland","36087","1 Family","Detached","Existing","2"
"HMB Warehouse","$150,000","06/23/2016","2016","42.25%","Conventional","$10,650","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$284,800","06/23/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","$121,125","06/23/2016","2016","95%","Conventional","$3,825","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$135,800","06/23/2016","2016","97%","Conventional","$4,200","360","Dutchess","36027","1 Family","Detached","Existing","3"
"HMB Warehouse","$112,000","06/23/2016","2016","94.92%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$132,000","06/23/2016","2016","80%","Conventional","$0","360","Delaware","36025","1 Family","Detached","Existing","2"
"HMB Warehouse","$74,000","06/23/2016","2016","80%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$75,000","06/23/2016","2016","67.87%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","5"
"HMB Warehouse","$293,425","06/23/2016","2016","96.46%","Conventional","$8,850","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$109,898","06/23/2016","2016","92.35%","Conventional","$3,570","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","$259,281","06/23/2016","2016","97%","Conventional","$8,019","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$53,600","06/23/2016","2016","80%","Conventional","$0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$280,000","06/16/2016","2016","97%","Conventional","$8,659","360","Orange","36071","1 Family","Detached","Existing","4"
"HMB Warehouse","$345,450","06/16/2016","2016","96%","Conventional","$10,740","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","$232,750","06/16/2016","2016","95%","Conventional","$0","360","Rockland","36087","1 Family","Condominium","Existing","3"
"HMB Warehouse","$319,200","06/16/2016","2016","95%","Conventional","$10,080","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$124,100","06/16/2016","2016","97%","Conventional","$3,840","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$161,500","06/16/2016","2016","95%","Conventional","$0","360","Ulster","36111","1 Family","Detached","Existing","1"
"HMB Warehouse","$106,400","06/16/2016","2016","95%","Conventional","$0","360","Ulster","36111","1 Family","Detached","Existing","2"
"HMB Warehouse","$94,090","06/16/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$232,800","06/16/2016","2016","97%","Conventional","$7,200","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$381,600","06/16/2016","2016","80%","Conventional","$0","360","New York","36061","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$95,060","06/16/2016","2016","97%","Conventional","$2,940","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$78,300","06/16/2016","2016","90%","Conventional","$3,000","360","Chemung","36015","1 Family","Detached","Existing","1"
"HMB Warehouse","$307,800","06/16/2016","2016","95%","Conventional","$0","360","Westchester","36119","1 Family","Detached","Existing","4"
"HMB Warehouse","$94,250","06/16/2016","2016","89.98%","Conventional","$3,142","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$331,200","06/16/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$51,000","06/16/2016","2016","85%","Conventional","$0","360","Erie","36029","2 Family","Detached","Existing","4"
"HMB Warehouse","$145,000","06/16/2016","2016","96.84%","Conventional","$0","360","Columbia","36021","1 Family","Detached","Rehabilitation","3"
"HMB Warehouse","$54,700","06/16/2016","2016","72.93%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","5"
"HMB Warehouse","$101,850","06/16/2016","2016","97%","Conventional","$3,150","360","Schenectady","36093","1 Family","Condominium","Existing","1"
"HMB Warehouse","$184,000","06/16/2016","2016","80%","Conventional","$6,900","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$58,200","06/16/2016","2016","97%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$127,700","06/16/2016","2016","79.99%","Conventional","$4,789","360","Westchester","36119","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$89,300","06/16/2016","2016","95%","Conventional","$0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$286,000","06/16/2016","2016","95%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$200,000","06/16/2016","2016","73%","Conventional","$0","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","$228,000","06/16/2016","2016","56%","Conventional","$0","360","Kings","36047","1 Family","Condominium","New","1"
"HMB Warehouse","$214,000","06/16/2016","2016","71%","Conventional","$9,000","360","Nassau","36059","1 Family","Detached","Existing","1"
"HMB Warehouse","$244,270","06/16/2016","2016","57%","Conventional","$12,952","360","Queens","36081","1 Family","Detached","Existing","4"
"HMB Warehouse","$66,500","06/09/2016","2016","95%","Conventional","$0","360","Erie","36029","2 Family","Detached","Existing","2"
"HMB Warehouse","$109,100","06/09/2016","2016","97%","Conventional","$3,375","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$194,750","06/09/2016","2016","95%","Conventional","$0","360","Albany","36001","2 Family","Detached","Existing","1"
"HMB Warehouse","$351,000","06/09/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$149,625","06/09/2016","2016","95%","Conventional","$0","360","Erie","36029","2 Family","Attached","Existing","1"
"HMB Warehouse","$279,000","06/09/2016","2016","90%","Conventional","$9,300","360","Westchester","36119","1 Family","Detached","Existing","3"
"HMB Warehouse","$115,300","06/09/2016","2016","95%","Conventional","$0","360","Monroe","36055","1 Family","PUD","Existing","1"
"HMB Warehouse","$125,130","06/09/2016","2016","97%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","$305,000","06/09/2016","2016","93.85%","Conventional","$9,750","360","Bronx","36005","1 Family","Attached","Existing","5"
"HMB Warehouse","$309,500","06/09/2016","2016","96.93%","Conventional","$9,578","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$92,150","06/09/2016","2016","97%","Conventional","$0","360","Oneida","36065","1 Family","Attached","Existing","1"
"HMB Warehouse","$417,000","06/09/2016","2016","92.67%","Conventional","$13,500","360","Queens","36081","1 Family","Detached","Existing","4"
"HMB Warehouse","$250,000","06/09/2016","2016","54%","Conventional","$0","360","Westchester","36119","1 Family","Detached","Existing","3"
"HMB Warehouse","$248,000","06/09/2016","2016","80%","Conventional","$0","360","Richmond","36085","1 Family","Detached","Existing","1"
"HMB Warehouse","$302,400","06/09/2016","2016","80%","Conventional","$11,340","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","$48,500","06/09/2016","2016","97%","Conventional","$3,000","360","Steuben","36101","2 Family","Detached","Existing","3"
"HMB Warehouse","$88,000","06/09/2016","2016","68.75%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$223,000","06/09/2016","2016","92.92%","Conventional","$7,500","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","$270,000","06/09/2016","2016","90%","Conventional","$9,000","360","Suffolk","36103","1 Family","Detached","Existing","6"
"HMB Warehouse","$250,000","06/09/2016","2016","96.15%","Conventional","$7,800","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$220,000","06/09/2016","2016","75.86%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$63,000","06/09/2016","2016","92.65%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$214,370","06/09/2016","2016","97%","Conventional","$6,630","360","Westchester","36119","1 Family","Detached","Existing","2"
"HMB Warehouse","$103,000","06/09/2016","2016","47%","Conventional","$6,540","360","Kings","36047","1 Family","Cooperative","Existing","4"
"HMB Warehouse","$479,520","06/09/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","New","3"
"HMB Warehouse","$114,800","06/09/2016","2016","80%","Conventional","$0","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$90,526","06/09/2016","2016","93%","Conventional","$2,963","360","Monroe","36055","1 Family","Detached","Rehabilitation","2"
"HMB Warehouse","$76,000","06/02/2016","2016","80%","Conventional","$0","360","Oneida","36065","3 Family","Attached","Existing","1"
"HMB Warehouse","$205,600","06/02/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$277,200","06/02/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$160,050","06/02/2016","2016","97%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$196,800","06/02/2016","2016","80%","Conventional","$0","360","Ulster","36111","1 Family","Detached","Existing","4"
"HMB Warehouse","$106,032","06/02/2016","2016","94%","Conventional","$0","360","Ulster","36111","1 Family","Detached","Existing","1"
"HMB Warehouse","$155,374","06/02/2016","2016","97%","Conventional","$4,820","360","Orange","36071","1 Family","Detached","Existing","3"
"HMB Warehouse","$218,250","06/02/2016","2016","97%","Conventional","$6,750","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$98,320","06/02/2016","2016","80%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","2"
"HMB Warehouse","$286,740","06/02/2016","2016","97%","Conventional","$8,868","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$289,600","06/02/2016","2016","80%","Conventional","$0","360","Kings","36047","1 Family","Condominium","Existing","1"
"HMB Warehouse","$64,400","06/02/2016","2016","80%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$140,000","06/02/2016","2016","80%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$160,050","06/02/2016","2016","97%","Conventional","$4,950","360","Dutchess","36027","1 Family","Detached","Existing","1"
"HMB Warehouse","$270,630","06/02/2016","2016","93%","Conventional","$8,730","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$67,400","06/02/2016","2016","89.99%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$232,000","06/02/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$71,900","06/02/2016","2016","89.99%","Conventional","$0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$409,500","06/02/2016","2016","90%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","5"
"HMB Warehouse","$189,150","06/02/2016","2016","97%","Conventional","$0","360","Orange","36071","1 Family","Detached","Existing","1"
"HMB Warehouse","$325,350","06/02/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$76,000","06/02/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$312,000","06/02/2016","2016","75.18%","Conventional","$12,900","360","Queens","36081","1 Family","Detached","Rehabilitation","3"
"HMB Warehouse","$251,500","06/02/2016","2016","94.73%","Conventional","$7,950","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$86,300","06/02/2016","2016","96.97%","Conventional","$0","360","Steuben","36101","1 Family","PUD","Existing","1"
"HMB Warehouse","$200,543","06/02/2016","2016","72.92%","Conventional","$8,250","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$305,550","06/02/2016","2016","97%","Conventional","$9,450","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$231,830","05/26/2016","2016","97%","Conventional","$7,170","360","Suffolk","36103","1 Family","Detached","Existing","4"
"Series 195/196","$245,000","05/26/2016","2016","62.03%","Conventional","$11,850","360","Bronx","36005","1 Family","Detached","Existing","4"
"HMB Warehouse","$204,250","05/26/2016","2016","95%","Conventional","$6,450","360","Dutchess","36027","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$223,100","05/26/2016","2016","97%","Conventional","$6,900","360","Dutchess","36027","1 Family","Detached","Existing","2"
"HMB Warehouse","$76,100","05/26/2016","2016","96.94%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$119,300","05/26/2016","2016","96.99%","Conventional","$0","360","Genesee","36037","1 Family","Detached","Existing","2"
"HMB Warehouse","$104,499","05/26/2016","2016","95%","Conventional","$0","360","Montgomery","36057","1 Family","Detached","Existing","1"
"HMB Warehouse","$342,400","05/26/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$313,650","05/26/2016","2016","90%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$63,050","05/26/2016","2016","97%","Conventional","$0","360","Schenectady","36093","1 Family","Detached","Existing","1"
"HMB Warehouse","$320,100","05/26/2016","2016","97%","Conventional","$9,900","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$128,599","05/26/2016","2016","97%","Conventional","$3,977","360","Schenectady","36093","1 Family","Detached","Existing","1"
"HMB Warehouse","$306,400","05/26/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","1"
"HMB Warehouse","$366,660","05/26/2016","2016","97%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","$128,525","05/26/2016","2016","97%","Conventional","$3,975","360","Rockland","36087","1 Family","Condominium","Existing","1"
"HMB Warehouse","$49,200","05/26/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$68,000","05/26/2016","2016","80%","Conventional","$0","360","Niagara","36063","1 Family","Detached","Existing","1"
"HMB Warehouse","$190,000","05/26/2016","2016","95%","Conventional","$6,000","360","Orange","36071","1 Family","Detached","Existing","4"
"HMB Warehouse","$77,650","05/26/2016","2016","92.44%","Conventional","$0","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$425,600","05/26/2016","2016","94.99%","Conventional","$13,441","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$85,500","05/26/2016","2016","90%","Conventional","$0","360","Onondaga","36067","1 Family","Detached","Existing","2"
"HMB Warehouse","$61,540","05/26/2016","2016","95%","Conventional","$3,000","360","Chemung","36015","1 Family","Detached","Existing","1"
"HMB Warehouse","$264,000","05/26/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","$144,530","05/26/2016","2016","97%","Conventional","$4,500","360","Albany","36001","1 Family","Detached","Existing","1"
"HMB Warehouse","$46,957","05/26/2016","2016","97%","Conventional","$3,000","360","Herkimer","36043","1 Family","Detached","Existing","4"
"HMB Warehouse","$328,000","05/26/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","3"
"HMB Warehouse","$126,100","05/26/2016","2016","97%","Conventional","$0","360","Broome","36007","2 Family","Attached","Existing","1"
"HMB Warehouse","$229,600","05/26/2016","2016","97%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$87,300","05/26/2016","2016","97%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","3"
"HMB Warehouse","$104,000","05/26/2016","2016","80%","Conventional","$3,900","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$145,600","05/26/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$102,000","05/26/2016","2016","85%","Conventional","$0","360","Suffolk","36103","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$414,000","05/26/2016","2016","80%","Conventional","$0","360","Richmond","36085","1 Family","Detached","Existing","1"
"HMB Warehouse","$82,632","05/26/2016","2016","88%","Conventional","$2,817","360","Bronx","36005","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$116,000","05/26/2016","2016","80%","Conventional","$0","360","Queens","36081","1 Family","Cooperative","Existing","2"
"HMB Warehouse","$122,350","05/26/2016","2016","50%","Conventional","$7,341","360","Orange","36071","1 Family","Detached","Rehabilitation","4"
"HMB Warehouse","$224,000","05/26/2016","2016","80%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$172,175","05/26/2016","2016","97%","Conventional","$5,325","360","Albany","36001","2 Family","Detached","Existing","1"
"HMB Warehouse","$179,450","05/26/2016","2016","97%","Conventional","$5,550","360","Westchester","36119","1 Family","Condominium","Existing","1"
"HMB Warehouse","$139,450","05/26/2016","2016","83%","Conventional","$0","360","Bronx","36005","1 Family","Cooperative","New","4"
"HMB Warehouse","$223,270","05/26/2016","2016","83%","Conventional","$8,173","360","Westchester","36119","1 Family","Condominium","New","4"
"HMB Warehouse","$57,244","05/26/2016","2016","87%","Conventional","$0","360","Westchester","36119","1 Family","Cooperative","Existing","1"
"HMB Warehouse","$165,750","05/26/2016","2016","85%","Conventional","$0","360","Suffolk","36103","1 Family","Detached","Existing","5"
"HMB Warehouse","$225,000","05/19/2016","2016","90%","Conventional","$7,500","360","Suffolk","36103","1 Family","Detached","Existing","2"
"HMB Warehouse","$161,550","05/19/2016","2016","90%","Conventional","$0","360","Ulster","36111","1 Family","Detached","Existing","1"
"HMB Warehouse","$286,400","05/19/2016","2016","80%","Conventional","$10,740","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$149,788","05/19/2016","2016","97%","Conventional","$4,632","360","Suffolk","36103","1 Family","Condominium","Existing","2"
"HMB Warehouse","$130,950","05/19/2016","2016","97%","Conventional","$0","360","Erie","36029","1 Family","Detached","Existing","1"
"HMB Warehouse","$60,968","05/19/2016","2016","95%","Conventional","$3,000","360","Chautauqua","36013","1 Family","Detached","Existing","1"
"HMB Warehouse","$285,000","05/19/2016","2016","95%","Conventional","$9,000","360","Nassau","36059","1 Family","Detached","Existing","2"
"HMB Warehouse","$228,000","05/19/2016","2016","87%","Conventional","$7,890","360","Suffolk","36103","1 Family","Detached","Existing","4"
"HMB Warehouse","$95,500","05/19/2016","2016","97%","Conventional","$3,000","360","Monroe","36055","1 Family","Detached","Existing","1"
"HMB Warehouse","$265,600","05/19/2016","2016","80%","Conventional","$0","360","Nassau","36059","1 Family","Detached","Existing","4"
"HMB Warehouse","$358,000","05/19/2016","2016","80%","Conventional","$13,425","360","Queens","36081","1 Family","Detached","Existing","3"
"HMB Warehouse","$336,520","05/19/2016","2016","94%","Conventional","$10,740","360","Bronx","36005","1 Family","Attached","Existing","3"
"HMB Warehouse","$243,000","05/19/2016","2016","95%","Conventional","$7,710","360","Suffolk","36103","1 Family","Detached","Existing","3"
"HMB Warehouse","$242,999","05/19/2016","2016","90%","Conventional","$8,099","360","Rockland","36087","1 Family","Detached","Existing","4"
"HMB Warehouse","$412,000","05/19/2016","2016","80%","Conventional","$15,000","360","Nassau","36059","1 Family","Detached","Existing","3"
"HMB Warehouse","$285,000","05/19/2016","2016","95%","Conventional","$0","360","Richmond","36085","1 Family","Condominium","Existing","3"
"HMB Warehouse","$285,000","05/19/2016","2016","57%","Conventional","$15,000","360","Nassau","36059","1 Family","Detached","Existing","1"
